0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:00 -0800] "GET /TackIT HTTP/1.1" 404 963
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:17 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:17 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:32 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 500 2707
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:37 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:41 -0800] "GET /Tackit/LoginVerify?login=123&passwd=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:41 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:02:41 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:16:52 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:16:52 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:00 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:00 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:01 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:01 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:03 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:03 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:04 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:04 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:05 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:05 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:05 -0800] "GET /Tackit/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:05 -0800] "GET /Tackit/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:05 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2013:00:17:05 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
