127.0.0.1 - - [26/Nov/2013:16:17:10 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:17:12 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:17:13 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:17:13 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:17:25 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:17:25 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:17:25 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:17:26 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:18:00 -0800] "GET /Tackit/CreateUser? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:18:00 -0800] "GET /Tackit/NewUser.jsp HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:19:49 -0800] "POST /Tackit/CreateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:19:49 -0800] "GET /Tackit/NewUser.jsp HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "POST /Tackit/CreateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 37745
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "GET /Tackit/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "GET /Tackit/img/thumbs/1.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "GET /Tackit/img/thumbs/2.jpg HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "GET /Tackit/img/thumbs/3.jpg HTTP/1.1" 200 8194
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:08 -0800] "GET /Tackit/img/thumbs/4.jpg HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/thumbs/7.jpg HTTP/1.1" 200 7567
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/thumbs/6.jpg HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/thumbs/9.jpg HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/thumbs/8.jpg HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/thumbs/5.jpg HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/main/1 HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/main/1.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Nov/2013:16:20:09 -0800] "GET /Tackit/img/main/2.jpg HTTP/1.1" 200 4506
