127.0.0.1 - - [02/Dec/2013:16:16:09 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:10 -0800] "GET /Tackit/ HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:11 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:11 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:16 -0800] "GET /Tackit/ HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:16 -0800] "GET /Tackit/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:16 -0800] "GET /Tackit/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 32920
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/3.jpg HTTP/1.1" 200 8194
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/4.jpg HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/1.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/2.jpg HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/5.jpg HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/7.jpg HTTP/1.1" 200 7567
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/9.jpg HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/6.jpg HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/thumbs/8.jpg HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/main/1.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/main/5.jpg HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/main/6.jpg HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/main/3.jpg HTTP/1.1" 200 8194
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/main/2.jpg HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:21 -0800] "GET /Tackit/img/main/4.jpg HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:24 -0800] "GET /Tackit/UManager? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:24 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:29 -0800] "POST /Tackit/LoginVerify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:29 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 32920
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:29 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:29 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:50 -0800] "GET /Tackit/UManager? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:50 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:51 -0800] "GET /Tackit/CreateUser? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:16:51 -0800] "GET /Tackit/NewUser.jsp HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:24 -0800] "POST /Tackit/CreateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:24 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 42277
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:24 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:24 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:24 -0800] "GET /Tackit/img/main/1 HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:37 -0800] "POST /Tackit/SBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:37 -0800] "GET /Tackit/SuggestedBoardView.jsp HTTP/1.1" 200 19797
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:37 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:37 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:38 -0800] "GET /Tackit/SBoard? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:38 -0800] "GET /Tackit/BoardView.jsp HTTP/1.1" 200 19881
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:38 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:38 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:51 -0800] "POST /Tackit/PinInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:51 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 43080
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:51 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:51 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:51 -0800] "GET /Tackit/img/main/1 HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:53 -0800] "POST /Tackit/Board HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:53 -0800] "GET /Tackit/BoardView.jsp HTTP/1.1" 200 22255
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:53 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:53 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:54 -0800] "GET /Tackit/Board?uId=9&bName=My+Pins HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:54 -0800] "GET /Tackit/BoardView.jsp HTTP/1.1" 200 13264
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:17:54 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:18:49 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 43080
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:18:49 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:18:49 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:18:49 -0800] "GET /Tackit/img/main/1 HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:18:56 -0800] "GET /Tackit/UManager? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:18:56 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:50:43 -0800] "GET /Tackit/Login.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:50:45 -0800] "GET /Tackit/CreateUser? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:50:45 -0800] "GET /Tackit/NewUser.jsp HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:02 -0800] "POST /Tackit/CreateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:02 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 41472
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:02 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:02 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:02 -0800] "GET /Tackit/img/main/1 HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:18 -0800] "POST /Tackit/SBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:18 -0800] "GET /Tackit/SuggestedBoardView.jsp HTTP/1.1" 200 21306
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:18 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:18 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:23 -0800] "GET /Tackit/SBoard? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:23 -0800] "GET /Tackit/BoardView.jsp HTTP/1.1" 200 21443
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:23 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:51:23 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:16 -0800] "POST /Tackit/PinInfo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:16 -0800] "GET /Tackit/Dashboard.jsp HTTP/1.1" 200 42275
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:16 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:16 -0800] "GET /Tackit/img/main/1 HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:16 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:22 -0800] "GET /Tackit/Board?uId=10&bName=My+Pins HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:22 -0800] "GET /Tackit/BoardView.jsp HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:22 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:40 -0800] "GET /Tackit/Board?uId=10&bName=My+Pins HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:40 -0800] "GET /Tackit/BoardView.jsp HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:40 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:42 -0800] "POST /Tackit/Board HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:42 -0800] "GET /Tackit/BoardView.jsp HTTP/1.1" 200 23699
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:42 -0800] "GET /Tackit/navbar-fixed-top.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [02/Dec/2013:16:52:42 -0800] "GET /Tackit/main/1 HTTP/1.1" 404 977
